Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,Tigre,Ricardo Rojas,6805010,1075,3791,0,1896,6,0,0,0,6768
BUENOS AIRES,Tigre,Rincón de Milberg,6805010,697,8932,0,1860,0,0,0,45,11534
BUENOS AIRES,Tigre,Tigre,6805010,766,12467,0,4674,6,6,0,176,18095
BUENOS AIRES,Tigre,Don Torcuato Oeste,6805010,0,0,0,0,0,0,0,186,186
BUENOS AIRES,Tigre,Nordelta,6805010,930,5981,0,2512,0,0,0,0,9423
BUENOS AIRES,Tordillo,General Conesa,6812010,40,227,0,0,0,0,0,63,330
BUENOS AIRES,Tordillo,Villa Roch,6812010,0,0,0,0,0,0,0,11,11
BUENOS AIRES,Tornquist,Saldungaray,6819020,564,0,0,0,0,0,0,0,564
BUENOS AIRES,Tornquist,Sierra de la Ventana,6819030,0,486,0,621,0,0,0,0,1107
BUENOS AIRES,Tornquist,Tornquist,6819040,131,966,0,1461,0,2,0,0,2560
BUENOS AIRES,Tornquist,Villa Serrana La Gruta,6819060,0,119,0,0,0,0,0,0,119
BUENOS AIRES,Tornquist,Villa Ventana,6819070,475,0,0,0,0,0,0,0,475
BUENOS AIRES,Trenque Lauquen,30 de Agosto,6826040,0,184,0,1396,2376,0,0,0,3956
BUENOS AIRES,Trenque Lauquen,OTROS,Sin Datos,0,0,0,0,0,4,0,0,4
BUENOS AIRES,Trenque Lauquen,Trenque Lauquen,6826050,2527,16,68,12525,68,1,0,1241,16446
BUENOS AIRES,Trenque Lauquen,Girodias,6826020,47,0,0,0,0,0,0,2,49
BUENOS AIRES,Trenque Lauquen,La Carreta,6826030,0,0,0,0,0,0,0,2,2
BUENOS AIRES,Trenque Lauquen,Trongé,6826060,0,0,0,0,0,0,0,2,2
BUENOS AIRES,Trenque Lauquen,Berutti,6826010,0,0,0,282,0,0,0,0,282
BUENOS AIRES,Tres Arroyos,Claromecó,6833020,268,0,0,722,0,0,0,734,1724
BUENOS AIRES,Tres Arroyos,Copetonas,6833030,0,0,0,1,0,0,0,89,90
BUENOS AIRES,Tres Arroyos,Lin Calel,6833040,0,0,0,0,0,0,0,11,11
BUENOS AIRES,Tres Arroyos,Micaela Cascallares  (Est. Cascallares),6833050,0,0,0,1,0,0,0,155,156
BUENOS AIRES,Tres Arroyos,Orense,6833060,0,0,1,246,407,0,0,146,800
BUENOS AIRES,Tres Arroyos,Reta,6833070,0,0,0,0,0,0,0,224,224
BUENOS AIRES,Tres Arroyos,San Francisco de Bellocq,6833080,0,0,0,0,0,0,0,120,120
BUENOS AIRES,Tres Arroyos,San Mayol,6833090,0,0,0,0,9,0,0,11,20
BUENOS AIRES,Tres Arroyos,Tres Arroyos,6833100,1352,14565,61,1513,61,1,0,903,18456
BUENOS AIRES,Tres De Febrero,11 De Septiembre,6840010,23,1195,0,5,1,2,0,0,1226
BUENOS AIRES,Tres De Febrero,Caseros,6840010,2423,23051,2,8901,25,0,0,2,34404
BUENOS AIRES,Tres De Febrero,Churruca,6840010,11,878,0,1543,0,0,0,0,2432
BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,6840010,507,5266,0,837,2,0,0,0,6612
BUENOS AIRES,Tres De Febrero,Ciudadela,6840010,313,11586,67,14166,117,3,0,4,26256
BUENOS AIRES,Tres De Febrero,El Libertador,6840010,134,2746,0,0,0,0,0,0,2880
