Año,Trimestre,Provincia,Accesos por cada 100 hab
2022,1,Jujuy,14.85
2022,1,La Pampa,30.2
2022,1,La Rioja,20.97
2022,1,Mendoza,13.6
2022,1,Misiones,13.36
2022,1,Neuquén,22.08
2022,1,Río Negro,20.62
2022,1,Salta,13.59
2022,1,San Juan,11.09
2022,1,San Luis,23.1
2022,1,Santa Cruz,12.89
2022,1,Santa Fe,24.31
2022,1,Santiago Del Estero,11.71
2022,1,Tierra Del Fuego,29.14
2022,1,Tucumán,14.22
2021,4,Buenos Aires,25.36
2021,4,Capital Federal,45.85
2021,4,Catamarca,14.05
2021,4,Chaco,11.77
2021,4,Chubut,25.31
2021,4,Córdoba,25.87
2021,4,Corrientes,11.98
2021,4,Entre Ríos,18.88
2021,4,Formosa,8.77
2021,4,Jujuy,14.56
2021,4,La Pampa,29.51
2021,4,La Rioja,20.74
2021,4,Mendoza,13.26
2021,4,Misiones,13.36
2021,4,Neuquén,21.82
2021,4,Río Negro,20.21
2021,4,Salta,13.76
2021,4,San Juan,10.08
2021,4,San Luis,22.98
2021,4,Santa Cruz,12.81
2021,4,Santa Fe,24.24
2021,4,Santiago Del Estero,11.68
2021,4,Tierra Del Fuego,29.17
2021,4,Tucumán,13.85
2021,3,Buenos Aires,23.97
2021,3,Capital Federal,45.9
2021,3,Catamarca,13.41
2021,3,Chaco,11.48
2021,3,Chubut,24.74
2021,3,Córdoba,24.89
2021,3,Corrientes,11.82
2021,3,Entre Ríos,18.59
2021,3,Formosa,8.64
2021,3,Jujuy,14.24
2021,3,La Pampa,27.77
2021,3,La Rioja,20.57
2021,3,Mendoza,12.71
2021,3,Misiones,12.41
2021,3,Neuquén,20.75
2021,3,Río Negro,19.06
2021,3,Salta,13.55
2021,3,San Juan,10.05
2021,3,San Luis,22.86
2021,3,Santa Cruz,13.02
2021,3,Santa Fe,23.59
2021,3,Santiago Del Estero,11.66
2021,3,Tierra Del Fuego,28.15
2021,3,Tucumán,13.53
2021,2,Buenos Aires,23.35
2021,2,Capital Federal,45.49
2021,2,Catamarca,13.31
2021,2,Chaco,11.58
2021,2,Chubut,22.16
2021,2,Córdoba,24.53
2021,2,Corrientes,11.47
2021,2,Entre Ríos,18.44
2021,2,Formosa,8.46
2021,2,Jujuy,14.37
2021,2,La Pampa,27.04
2021,2,La Rioja,20.49
2021,2,Mendoza,11.43
2021,2,Misiones,12.26
2021,2,Neuquén,20.58
2021,2,Río Negro,19.05
2021,2,Salta,13.3
2021,2,San Juan,10.01
2021,2,San Luis,23.89
2021,2,Santa Cruz,13.1
2021,2,Santa Fe,23.6
2021,2,Santiago Del Estero,11.55
2021,2,Tierra Del Fuego,20.13
2021,2,Tucumán,13.61
2021,1,Buenos Aires,23.0
2021,1,Capital Federal,44.83
2021,1,Catamarca,12.44
2021,1,Chaco,11.53
2021,1,Chubut,21.15
2021,1,Córdoba,24.06
2021,1,Corrientes,11.23
2021,1,Entre Ríos,18.07
2021,1,Formosa,8.33
2021,1,Jujuy,14.23
2021,1,La Pampa,26.94
2021,1,La Rioja,13.26
2021,1,Mendoza,10.93
2021,1,Misiones,11.76
2021,1,Neuquén,19.9
2021,1,Río Negro,18.72
2021,1,Salta,13.06
2021,1,San Juan,9.95
2021,1,San Luis,23.25
2021,1,Santa Cruz,12.39
2021,1,Santa Fe,23.24
2021,1,Santiago Del Estero,11.33
2021,1,Tierra Del Fuego,22.93
2021,1,Tucumán,13.58
2020,4,Buenos Aires,22.9
2020,4,Capital Federal,44.83
2020,4,Catamarca,12.57
2020,4,Chaco,11.5
2020,4,Chubut,20.95
2020,4,Córdoba,23.9
2020,4,Corrientes,11.17
2020,4,Entre Ríos,17.78
2020,4,Formosa,8.27
2020,4,Jujuy,13.67
2020,4,La Pampa,26.94
2020,4,La Rioja,13.34
2020,4,Mendoza,10.78
2020,4,Misiones,11.61
2020,4,Neuquén,19.94
2020,4,Río Negro,18.79
2020,4,Salta,13.09
2020,4,San Juan,9.25
2020,4,San Luis,23.38
2020,4,Santa Cruz,11.01
2020,4,Santa Fe,23.14
2020,4,Santiago Del Estero,10.86
2020,4,Tierra Del Fuego,22.61
2020,4,Tucumán,13.57
2020,3,Buenos Aires,22.41
2020,3,Capital Federal,44.62
2020,3,Catamarca,12.0
2020,3,Chaco,11.1
2020,3,Chubut,20.95
2020,3,Córdoba,23.03
2020,3,Corrientes,10.99
2020,3,Entre Ríos,17.4
2020,3,Formosa,8.12
2020,3,Jujuy,13.82
2020,3,La Pampa,26.12
2020,3,La Rioja,13.34
2020,3,Mendoza,10.42
2020,3,Misiones,11.33
2020,3,Neuquén,19.42
2020,3,Río Negro,17.55
2020,3,Salta,12.67
2020,3,San Juan,9.88
2020,3,San Luis,22.88
2020,3,Santa Cruz,10.7
2020,3,Santa Fe,22.68
2020,3,Santiago Del Estero,10.76
2020,3,Tierra Del Fuego,22.77
2020,3,Tucumán,13.18
2020,2,Buenos Aires,21.55
2020,2,Capital Federal,44.15
2020,2,Catamarca,11.56
2020,2,Chaco,10.65
2020,2,Chubut,17.58
2020,2,Córdoba,22.26
2020,2,Corrientes,10.61
2020,2,Entre Ríos,16.9
2020,2,Formosa,7.93
2020,2,Jujuy,12.25
2020,2,La Pampa,25.07
2020,2,La Rioja,13.27
2020,2,Mendoza,10.12
2020,2,Misiones,11.14
2020,2,Neuquén,19.02
2020,2,Río Negro,17.34
2020,2,Salta,12.49
2020,2,San Juan,8.94
2020,2,San Luis,22.44
2020,2,Santa Cruz,10.65
2020,2,Santa Fe,22.01
2020,2,Santiago Del Estero,10.79
2020,2,Tierra Del Fuego,22.64
2020,2,Tucumán,12.83
2020,1,Buenos Aires,21.21
2020,1,Capital Federal,44.02
2020,1,Catamarca,9.57
2020,1,Chaco,10.02
2020,1,Chubut,15.72
2020,1,Córdoba,21.64
2020,1,Corrientes,10.2
2020,1,Entre Ríos,16.78
2020,1,Formosa,7.69
2020,1,Jujuy,11.93
2020,1,La Pampa,24.96
2020,1,La Rioja,12.34
2020,1,Mendoza,9.25
2020,1,Misiones,10.63
2020,1,Neuquén,18.41
2020,1,Río Negro,16.95
2020,1,Salta,12.01
2020,1,San Juan,8.25
2020,1,San Luis,21.84
2020,1,Santa Cruz,10.7
2020,1,Santa Fe,21.86
2020,1,Santiago Del Estero,10.54
2020,1,Tierra Del Fuego,22.55
2020,1,Tucumán,11.85
2019,4,Buenos Aires,21.14
2019,4,Capital Federal,44.19
2019,4,Catamarca,9.27
2019,4,Chaco,9.85
2019,4,Chubut,15.68
2019,4,Córdoba,21.58
2019,4,Corrientes,10.21
2019,4,Entre Ríos,17.34
2019,4,Formosa,7.76
2019,4,Jujuy,11.6
2019,4,La Pampa,25.34
2019,4,La Rioja,12.55
2019,4,Mendoza,9.39
2019,4,Misiones,10.84
2019,4,Neuquén,17.67
2019,4,Río Negro,17.13
2019,4,Salta,12.2
2019,4,San Juan,8.37
2019,4,San Luis,21.44
2019,4,Santa Cruz,10.92
2019,4,Santa Fe,21.85
2019,4,Santiago Del Estero,10.65
2019,4,Tierra Del Fuego,23.63
2019,4,Tucumán,11.8
2019,3,Buenos Aires,22.76
2019,3,Capital Federal,46.9
2019,3,Catamarca,7.86
2019,3,Chaco,9.58
2019,3,Chubut,14.58
2019,3,Córdoba,21.0
2019,3,Corrientes,10.13
2019,3,Entre Ríos,17.31
2019,3,Formosa,7.66
2019,3,Jujuy,11.33
2019,3,La Pampa,25.52
2019,3,La Rioja,12.76
2019,3,Mendoza,11.37
2019,3,Misiones,10.71
2019,3,Neuquén,19.09
2019,3,Río Negro,19.51
2019,3,Salta,10.77
2019,3,San Juan,9.44
2019,3,San Luis,24.39
2019,3,Santa Cruz,10.6
2019,3,Santa Fe,21.66
2019,3,Santiago Del Estero,13.73
2019,3,Tierra Del Fuego,28.6
2019,3,Tucumán,9.78
2019,2,Buenos Aires,22.22
2019,2,Capital Federal,46.09
2019,2,Catamarca,8.17
2019,2,Chaco,9.13
2019,2,Chubut,14.4
2019,2,Córdoba,20.84
2019,2,Corrientes,10.05
2019,2,Entre Ríos,17.19
2019,2,Formosa,7.74
2019,2,Jujuy,11.38
2019,2,La Pampa,25.4
2019,2,La Rioja,12.97
2019,2,Mendoza,11.37
2019,2,Misiones,10.66
2019,2,Neuquén,18.78
2019,2,Río Negro,18.79
2019,2,Salta,10.15
2019,2,San Juan,9.07
2019,2,San Luis,23.41
2019,2,Santa Cruz,8.58
2019,2,Santa Fe,21.2
2019,2,Santiago Del Estero,13.1
2019,2,Tierra Del Fuego,28.11
2019,2,Tucumán,9.94
2019,1,Buenos Aires,21.64
2019,1,Capital Federal,45.58
2019,1,Catamarca,8.19
2019,1,Chaco,8.72
2019,1,Chubut,13.18
2019,1,Córdoba,20.06
2019,1,Corrientes,9.25
2019,1,Entre Ríos,16.98
2019,1,Formosa,7.55
2019,1,Jujuy,11.87
2019,1,La Pampa,25.16
2019,1,La Rioja,13.36
2019,1,Mendoza,10.51
2019,1,Misiones,9.88
2019,1,Neuquén,17.53
2019,1,Río Negro,16.48
2019,1,Salta,9.71
2019,1,San Juan,8.11
2019,1,San Luis,19.27
2019,1,Santa Cruz,7.04
2019,1,Santa Fe,21.06
2019,1,Santiago Del Estero,9.31
2019,1,Tierra Del Fuego,27.68
2019,1,Tucumán,10.31
2018,4,Buenos Aires,21.06
2018,4,Capital Federal,45.25
2018,4,Catamarca,8.2
2018,4,Chaco,8.71
2018,4,Chubut,13.06
2018,4,Córdoba,19.93
2018,4,Corrientes,9.1
2018,4,Entre Ríos,16.26
2018,4,Formosa,7.57
2018,4,Jujuy,11.9
2018,4,La Pampa,24.22
2018,4,La Rioja,13.4
2018,4,Mendoza,10.54
2018,4,Misiones,9.38
2018,4,Neuquén,17.58
2018,4,Río Negro,15.95
2018,4,Salta,9.64
2018,4,San Juan,8.13
2018,4,San Luis,19.33
2018,4,Santa Cruz,7.05
2018,4,Santa Fe,20.62
2018,4,Santiago Del Estero,9.28
2018,4,Tierra Del Fuego,27.75
2018,4,Tucumán,10.34
2018,3,Buenos Aires,20.96
2018,3,Capital Federal,45.38
2018,3,Catamarca,8.37
2018,3,Chaco,8.63
2018,3,Chubut,17.29
2018,3,Córdoba,19.67
2018,3,Corrientes,9.02
2018,3,Entre Ríos,15.02
2018,3,Formosa,7.53
2018,3,Jujuy,5.95
2018,3,La Pampa,23.64
2018,3,La Rioja,13.51
2018,3,Mendoza,10.6
2018,3,Misiones,8.74
2018,3,Neuquén,18.01
2018,3,Río Negro,15.55
2018,3,Salta,9.55
2018,3,San Juan,8.42
2018,3,San Luis,14.98
2018,3,Santa Cruz,9.74
2018,3,Santa Fe,19.94
2018,3,Santiago Del Estero,9.0
2018,3,Tierra Del Fuego,27.51
2018,3,Tucumán,10.33
2018,2,Buenos Aires,20.37
2018,2,Capital Federal,44.63
2018,2,Catamarca,8.36
2018,2,Chaco,8.35
2018,2,Chubut,16.83
2018,2,Córdoba,19.37
2018,2,Corrientes,8.9
2018,2,Entre Ríos,14.71
2018,2,Formosa,7.49
2018,2,Jujuy,5.99
2018,2,La Pampa,23.41
2018,2,La Rioja,13.57
2018,2,Mendoza,10.32
2018,2,Misiones,8.62
2018,2,Neuquén,17.93
2018,2,Río Negro,15.43
2018,2,Salta,9.67
2018,2,San Juan,8.39
2018,2,San Luis,4.34
2018,2,Santa Cruz,9.92
2018,2,Santa Fe,19.68
2018,2,Santiago Del Estero,8.75
2018,2,Tierra Del Fuego,27.16
2018,2,Tucumán,10.28
2018,1,Buenos Aires,20.28
2018,1,Capital Federal,44.56
2018,1,Catamarca,8.34
2018,1,Chaco,8.24
2018,1,Chubut,16.47
2018,1,Córdoba,19.45
2018,1,Corrientes,8.6
2018,1,Entre Ríos,14.56
2018,1,Formosa,5.45
2018,1,Jujuy,5.91
2018,1,La Pampa,23.64
2018,1,La Rioja,13.69
2018,1,Mendoza,10.35
2018,1,Misiones,8.43
2018,1,Neuquén,18.31
2018,1,Río Negro,15.32
2018,1,Salta,9.63
2018,1,San Juan,8.31
2018,1,San Luis,4.34
2018,1,Santa Cruz,9.98
2018,1,Santa Fe,19.58
2018,1,Santiago Del Estero,8.68
2018,1,Tierra Del Fuego,19.33
2018,1,Tucumán,10.2
2017,4,Buenos Aires,18.61
2017,4,Capital Federal,51.62
2017,4,Catamarca,7.28
2017,4,Chaco,8.23
2017,4,Chubut,15.78
2017,4,Córdoba,19.39
2017,4,Corrientes,8.56
2017,4,Entre Ríos,14.32
2017,4,Formosa,5.41
2017,4,Jujuy,5.82
2017,4,La Pampa,23.41
2017,4,La Rioja,13.73
2017,4,Mendoza,9.3
2017,4,Misiones,8.48
2017,4,Neuquén,18.23
2017,4,Río Negro,15.19
2017,4,Salta,9.64
2017,4,San Juan,7.72
2017,4,San Luis,3.03
2017,4,Santa Cruz,8.6
2017,4,Santa Fe,19.41
2017,4,Santiago Del Estero,7.23
2017,4,Tierra Del Fuego,17.76
2017,4,Tucumán,9.88
2017,3,Buenos Aires,17.94
2017,3,Capital Federal,51.24
2017,3,Catamarca,8.27
2017,3,Chaco,8.01
2017,3,Chubut,14.17
2017,3,Córdoba,19.08
2017,3,Corrientes,8.47
2017,3,Entre Ríos,13.74
2017,3,Formosa,5.43
2017,3,Jujuy,5.79
2017,3,La Pampa,22.78
2017,3,La Rioja,13.7
2017,3,Mendoza,9.96
2017,3,Misiones,8.23
2017,3,Neuquén,18.11
2017,3,Río Negro,14.92
2017,3,Salta,9.65
2017,3,San Juan,8.25
2017,3,San Luis,4.43
2017,3,Santa Cruz,9.91
2017,3,Santa Fe,19.15
2017,3,Santiago Del Estero,8.72
2017,3,Tierra Del Fuego,19.49
2017,3,Tucumán,9.83
2017,2,Buenos Aires,18.1
2017,2,Capital Federal,52.24
2017,2,Catamarca,6.61
2017,2,Chaco,7.76
2017,2,Chubut,10.9
2017,2,Córdoba,18.06
2017,2,Corrientes,8.27
2017,2,Entre Ríos,13.57
2017,2,Formosa,5.08
2017,2,Jujuy,5.73
2017,2,La Pampa,20.92
2017,2,La Rioja,4.31
2017,2,Mendoza,8.86
2017,2,Misiones,8.2
2017,2,Neuquén,18.43
2017,2,Río Negro,14.16
2017,2,Salta,7.93
2017,2,San Juan,6.87
2017,2,San Luis,2.72
2017,2,Santa Cruz,7.81
2017,2,Santa Fe,16.44
2017,2,Santiago Del Estero,3.5
2017,2,Tierra Del Fuego,20.3
2017,2,Tucumán,9.46
2017,1,Buenos Aires,18.8
2017,1,Capital Federal,45.69
2017,1,Catamarca,6.53
2017,1,Chaco,7.65
2017,1,Chubut,10.93
2017,1,Córdoba,17.65
2017,1,Corrientes,8.15
2017,1,Entre Ríos,13.43
2017,1,Formosa,5.05
2017,1,Jujuy,5.82
2017,1,La Pampa,20.65
2017,1,La Rioja,4.31
2017,1,Mendoza,8.89
2017,1,Misiones,8.04
2017,1,Neuquén,18.17
2017,1,Río Negro,14.16
2017,1,Salta,7.89
2017,1,San Juan,6.89
2017,1,San Luis,2.73
2017,1,Santa Cruz,7.89
2017,1,Santa Fe,16.34
2017,1,Santiago Del Estero,3.65
2017,1,Tierra Del Fuego,20.44
2017,1,Tucumán,9.39
2016,4,Buenos Aires,18.58
2016,4,Capital Federal,45.78
2016,4,Catamarca,6.72
2016,4,Chaco,7.65
2016,4,Chubut,10.96
2016,4,Córdoba,17.57
2016,4,Corrientes,8.12
2016,4,Entre Ríos,13.45
2016,4,Formosa,5.03
2016,4,Jujuy,5.76
2016,4,La Pampa,20.67
2016,4,La Rioja,4.35
2016,4,Mendoza,8.91
2016,4,Misiones,8.05
2016,4,Neuquén,17.99
2016,4,Río Negro,14.17
2016,4,Salta,7.87
2016,4,San Juan,6.91
2016,4,San Luis,2.74
2016,4,Santa Cruz,7.94
2016,4,Santa Fe,16.35
2016,4,Santiago Del Estero,3.72
2016,4,Tierra Del Fuego,20.57
2016,4,Tucumán,9.35
2016,3,Buenos Aires,18.3
2016,3,Capital Federal,45.85
2016,3,Catamarca,6.72
2016,3,Chaco,7.71
2016,3,Chubut,11.04
2016,3,Córdoba,17.79
2016,3,Corrientes,8.16
2016,3,Entre Ríos,13.55
2016,3,Formosa,4.73
2016,3,Jujuy,5.76
2016,3,La Pampa,20.29
2016,3,La Rioja,4.53
2016,3,Mendoza,8.93
2016,3,Misiones,8.12
2016,3,Neuquén,17.86
2016,3,Río Negro,14.22
2016,3,Salta,7.96
2016,3,San Juan,6.94
2016,3,San Luis,2.75
2016,3,Santa Cruz,7.93
2016,3,Santa Fe,16.53
2016,3,Santiago Del Estero,3.79
2016,3,Tierra Del Fuego,20.31
2016,3,Tucumán,9.36
2016,2,Buenos Aires,18.1
2016,2,Capital Federal,45.59
2016,2,Catamarca,6.63
2016,2,Chaco,7.64
2016,2,Chubut,11.07
2016,2,Córdoba,17.62
2016,2,Corrientes,8.05
2016,2,Entre Ríos,13.38
2016,2,Formosa,4.93
2016,2,Jujuy,5.6
2016,2,La Pampa,19.91
2016,2,La Rioja,4.49
2016,2,Mendoza,8.97
2016,2,Misiones,7.96
2016,2,Neuquén,17.59
2016,2,Río Negro,14.22
2016,2,Salta,7.77
2016,2,San Juan,6.96
2016,2,San Luis,2.75
2016,2,Santa Cruz,7.96
2016,2,Santa Fe,16.49
2016,2,Santiago Del Estero,3.94
2016,2,Tierra Del Fuego,20.08
2016,2,Tucumán,9.22
2016,1,Buenos Aires,17.54
2016,1,Capital Federal,43.76
2016,1,Catamarca,6.61
2016,1,Chaco,7.52
2016,1,Chubut,11.12
2016,1,Córdoba,16.97
2016,1,Corrientes,7.94
2016,1,Entre Ríos,13.14
2016,1,Formosa,4.86
2016,1,Jujuy,5.49
2016,1,La Pampa,19.1
2016,1,La Rioja,4.5
2016,1,Mendoza,8.99
2016,1,Misiones,7.75
2016,1,Neuquén,16.66
2016,1,Río Negro,14.15
2016,1,Salta,7.61
2016,1,San Juan,6.98
2016,1,San Luis,2.75
2016,1,Santa Cruz,8.05
2016,1,Santa Fe,16.16
2016,1,Santiago Del Estero,4.03
2016,1,Tierra Del Fuego,19.65
2016,1,Tucumán,9.13
2015,4,Buenos Aires,17.68
2015,4,Capital Federal,44.83
2015,4,Catamarca,6.64
2015,4,Chaco,7.54
2015,4,Chubut,11.21
2015,4,Córdoba,17.47
2015,4,Corrientes,7.95
2015,4,Entre Ríos,13.12
2015,4,Formosa,4.83
2015,4,Jujuy,5.46
2015,4,La Pampa,19.27
2015,4,La Rioja,4.58
2015,4,Mendoza,9.02
2015,4,Misiones,7.77
2015,4,Neuquén,17.23
2015,4,Río Negro,14.19
2015,4,Salta,7.6
2015,4,San Juan,7.01
2015,4,San Luis,2.76
2015,4,Santa Cruz,8.14
2015,4,Santa Fe,16.47
2015,4,Santiago Del Estero,4.2
2015,4,Tierra Del Fuego,19.44
2015,4,Tucumán,9.12
2015,3,Buenos Aires,17.55
2015,3,Capital Federal,44.91
2015,3,Catamarca,6.56
2015,3,Chaco,7.45
2015,3,Chubut,11.23
2015,3,Córdoba,17.43
2015,3,Corrientes,7.93
2015,3,Entre Ríos,13.03
2015,3,Formosa,4.78
2015,3,Jujuy,5.42
2015,3,La Pampa,19.06
2015,3,La Rioja,4.55
2015,3,Mendoza,9.04
2015,3,Misiones,7.69
2015,3,Neuquén,16.2
2015,3,Río Negro,14.22
2015,3,Salta,7.53
2015,3,San Juan,7.03
2015,3,San Luis,2.77
2015,3,Santa Cruz,8.16
2015,3,Santa Fe,16.36
2015,3,Santiago Del Estero,4.24
2015,3,Tierra Del Fuego,22.05
2015,3,Tucumán,9.04
2015,2,Buenos Aires,17.33
2015,2,Capital Federal,44.08
2015,2,Catamarca,6.48
2015,2,Chaco,7.34
2015,2,Chubut,11.22
2015,2,Córdoba,17.11
2015,2,Corrientes,7.79
2015,2,Entre Ríos,12.84
2015,2,Formosa,4.67
2015,2,Jujuy,5.19
2015,2,La Pampa,18.69
2015,2,La Rioja,4.49
2015,2,Mendoza,9.07
2015,2,Misiones,7.45
2015,2,Neuquén,15.81
2015,2,Río Negro,14.14
2015,2,Salta,7.38
2015,2,San Juan,7.04
2015,2,San Luis,2.78
2015,2,Santa Cruz,8.06
2015,2,Santa Fe,16.09
2015,2,Santiago Del Estero,4.25
2015,2,Tierra Del Fuego,22.1
2015,2,Tucumán,8.84
2015,1,Buenos Aires,17.24
2015,1,Capital Federal,43.66
2015,1,Catamarca,6.4
2015,1,Chaco,7.14
2015,1,Chubut,11.59
2015,1,Córdoba,16.79
2015,1,Corrientes,7.64
2015,1,Entre Ríos,12.61
2015,1,Formosa,4.62
2015,1,Jujuy,5.05
2015,1,La Pampa,18.33
2015,1,La Rioja,4.46
2015,1,Mendoza,9.06
2015,1,Misiones,7.19
2015,1,Neuquén,15.53
2015,1,Río Negro,13.99
2015,1,Salta,7.29
2015,1,San Juan,7.04
2015,1,San Luis,2.79
2015,1,Santa Cruz,8.39
2015,1,Santa Fe,15.83
2015,1,Santiago Del Estero,4.24
2015,1,Tierra Del Fuego,22.17
2015,1,Tucumán,8.72
2014,4,Buenos Aires,17.01
2014,4,Capital Federal,43.6
2014,4,Catamarca,6.46
2014,4,Chaco,5.81
2014,4,Chubut,12.22
2014,4,Córdoba,16.66
2014,4,Corrientes,6.17
2014,4,Entre Ríos,10.72
2014,4,Formosa,4.55
2014,4,Jujuy,4.98
2014,4,La Pampa,16.82
2014,4,La Rioja,4.5
2014,4,Mendoza,9.06
2014,4,Misiones,6.54
2014,4,Neuquén,15.53
2014,4,Río Negro,13.89
2014,4,Salta,7.1
2014,4,San Juan,7.1
2014,4,San Luis,2.78
2014,4,Santa Cruz,8.16
2014,4,Santa Fe,15.66
2014,4,Santiago Del Estero,4.26
2014,4,Tierra Del Fuego,19.34
2014,4,Tucumán,8.69
2014,3,Buenos Aires,17.26
2014,3,Capital Federal,43.21
2014,3,Catamarca,6.27
2014,3,Chaco,5.63
2014,3,Chubut,12.39
2014,3,Córdoba,16.56
2014,3,Corrientes,5.99
2014,3,Entre Ríos,10.43
2014,3,Formosa,4.51
2014,3,Jujuy,4.68
2014,3,La Pampa,18.34
2014,3,La Rioja,4.38
2014,3,Mendoza,8.99
2014,3,Misiones,6.4
2014,3,Neuquén,16.73
2014,3,Río Negro,14.16
2014,3,Salta,7.05
2014,3,San Juan,7.08
2014,3,San Luis,2.77
2014,3,Santa Cruz,8.34
2014,3,Santa Fe,15.44
2014,3,Santiago Del Estero,4.08
2014,3,Tierra Del Fuego,19.34
2014,3,Tucumán,8.38
2014,2,Buenos Aires,16.79
2014,2,Capital Federal,42.97
2014,2,Catamarca,6.28
2014,2,Chaco,5.6
2014,2,Chubut,12.7
2014,2,Córdoba,16.37
2014,2,Corrientes,5.95
2014,2,Entre Ríos,10.37
2014,2,Formosa,4.46
2014,2,Jujuy,4.78
2014,2,La Pampa,16.38
2014,2,La Rioja,4.39
2014,2,Mendoza,8.96
2014,2,Misiones,6.37
2014,2,Neuquén,15.14
2014,2,Río Negro,13.95
2014,2,Salta,7.0
2014,2,San Juan,7.08
2014,2,San Luis,2.78
2014,2,Santa Cruz,8.74
2014,2,Santa Fe,15.22
2014,2,Santiago Del Estero,4.14
2014,2,Tierra Del Fuego,19.09
2014,2,Tucumán,8.41
2014,1,Buenos Aires,16.69
2014,1,Capital Federal,42.66
2014,1,Catamarca,6.18
2014,1,Chaco,5.55
2014,1,Chubut,12.7
2014,1,Córdoba,16.13
2014,1,Corrientes,5.89
2014,1,Entre Ríos,10.3
2014,1,Formosa,4.44
2014,1,Jujuy,4.72
2014,1,La Pampa,15.99
2014,1,La Rioja,4.35
2014,1,Mendoza,8.93
2014,1,Misiones,6.32
2014,1,Neuquén,14.88
2014,1,Río Negro,13.87
2014,1,Salta,6.98
2014,1,San Juan,7.05
2014,1,San Luis,2.68
2014,1,Santa Cruz,8.68
2014,1,Santa Fe,15.08
2014,1,Santiago Del Estero,4.06
2014,1,Tierra Del Fuego,19.1
2014,1,Tucumán,8.31
