Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
MENDOZA,Lavalle,El Vergel,--,--,--,--,--,--,--,SI,--
MENDOZA,Lavalle,Ingeniero Gustavo André,--,--,--,--,--,--,--,SI,--
MENDOZA,Lavalle,Jocolí,--,--,--,--,--,--,--,SI,--
MENDOZA,Lavalle,Jocolí Viejo,--,--,--,--,--,--,--,SI,--
MENDOZA,Lavalle,Las Violetas,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,Villa Tulumaya,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Luján de Cuyo,Agrelo,SI,--,--,SI,SI,SI,SI,SI,--
MENDOZA,Luján de Cuyo,Barrio Adina I Y Ii,--,--,--,--,SI,SI,--,--,--
MENDOZA,Luján de Cuyo,Barrio Perdriel IV,--,--,--,SI,SI,--,--,SI,--
MENDOZA,Luján de Cuyo,Cacheuta,SI,--,--,--,SI,SI,SI,SI,--
MENDOZA,Luján de Cuyo,CARRODILLA,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Luján de Cuyo,CHACRAS DE CORIA,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Luján de Cuyo,Costa Flores,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Luján de Cuyo,El Carmelo,--,--,--,--,--,--,--,--,--
MENDOZA,Luján de Cuyo,El Carrizal,--,--,--,--,SI,--,--,SI,--
MENDOZA,Luján de Cuyo,El Salto,--,--,--,--,--,--,SI,SI,--
MENDOZA,Luján de Cuyo,La Puntilla,--,--,--,SI,--,--,--,SI,--
MENDOZA,Rivadavia,Rivadavia,SI,--,SI,SI,SI,SI,SI,SI,SI
MENDOZA,Rivadavia,Santa María de Oro,--,--,--,--,--,--,--,SI,--
MENDOZA,San Carlos,Barrio Carrasco,--,--,--,--,--,--,--,--,--
MENDOZA,San Carlos,Barrio El Cepillo,--,--,--,--,--,--,--,SI,--
MENDOZA,San Carlos,Chilecito,--,--,--,--,SI,SI,--,SI,--
MENDOZA,San Carlos,Eugenio Bustos,SI,--,--,--,SI,SI,SI,SI,--
MENDOZA,San Carlos,La Consulta,SI,--,--,--,SI,SI,SI,SI,SI
MENDOZA,San Carlos,Pareditas,--,--,--,SI,SI,SI,SI,SI,--
MENDOZA,San Carlos,San Carlos,--,SI,--,--,SI,SI,--,SI,--
MENDOZA,San Martín,Alto Salvador,--,--,--,SI,--,--,SI,SI,--
MENDOZA,San Martín,Alto Verde,--,--,--,SI,--,--,--,SI,--
MENDOZA,San Martín,Barrio Chivilcoy,--,--,--,--,--,--,--,--,--
MENDOZA,San Martín,Barrio Emanuel,--,--,--,--,--,--,--,--,--
MENDOZA,San Martín,Barrio La Estación,--,--,--,--,--,--,--,--,--
MENDOZA,San Martín,Barrio Los Charabones,--,--,--,--,--,--,--,--,--
MENDOZA,San Martín,Barrio Ntra. Sra. De Fátima,--,--,--,--,--,SI,--,--,--
MENDOZA,San Martín,Chapanay,--,--,SI,SI,SI,SI,SI,SI,--
MENDOZA,San Martín,Chivilcoy,--,--,--,--,--,--,--,--,--
MENDOZA,San Martín,El Espino,--,--,--,--,--,--,--,SI,--
SALTA,La Caldera,La Caldera,--,--,--,SI,SI,SI,SI,SI,SI
SALTA,La Caldera,Vaqueros,SI,--,--,SI,SI,SI,SI,SI,--
SALTA,La Candelaria,El Jardín,--,--,--,SI,SI,--,SI,--,SI
SALTA,La Candelaria,El Tala,--,--,--,SI,SI,SI,SI,SI,SI
SALTA,La Candelaria,La Candelaria,--,--,--,SI,SI,--,SI,--,--
SALTA,La Poma,Cobres,--,--,--,--,--,--,--,--,--
SALTA,La Poma,La Poma,--,--,--,SI,--,--,--,SI,--
SALTA,La Viña,Ampascachi,--,--,--,--,--,--,--,SI,--
SALTA,La Viña,Cabra Corral,--,--,--,--,SI,--,--,SI,--
SALTA,La Viña,Coronel Moldes,SI,--,--,--,SI,SI,SI,SI,SI
SALTA,La Viña,La Viña,--,--,--,SI,SI,--,SI,SI,SI
SALTA,La Viña,Talapampa,--,--,--,--,--,--,--,SI,--
SALTA,Los Andes,Olacapato,--,--,--,SI,--,--,SI,SI,SI
SALTA,Los Andes,San Antonio de los Cobres,--,--,--,SI,SI,--,SI,SI,SI
SALTA,Los Andes,Santa Rosa de los Pastos Grandes,--,--,--,SI,--,--,--,SI,SI
SALTA,Los Andes,Tolar Grande,--,--,--,SI,SI,--,SI,SI,SI
SALTA,Metán,El Galpón,SI,--,--,SI,SI,SI,SI,--,SI
SALTA,Metán,El Tunal,--,--,--,SI,SI,--,--,--,SI
SALTA,Metán,Lumbreras,--,--,--,SI,--,--,--,--,--
SALTA,Metán,Metán Viejo,--,--,--,SI,SI,--,--,--,SI
SALTA,Metán,Presa El Tunal,--,--,--,--,--,--,--,--,--
SALTA,Metán,Río Piedras,SI,--,--,SI,SI,SI,SI,--,SI
SALTA,Metán,San José de Metán,SI,--,--,SI,SI,SI,SI,--,SI
SALTA,Metán,San José de Orquera,--,--,--,SI,--,--,--,--,--
SALTA,Molinos,La Puerta,--,--,--,--,--,--,SI,--,--
SALTA,Molinos,Molinos,SI,--,--,SI,SI,--,SI,SI,--
SALTA,Molinos,Seclantás,--,--,--,SI,SI,--,SI,SI,SI
SALTA,Orán,Aguas Blancas,--,--,--,--,SI,--,SI,SI,SI
SALTA,Orán,Colonia Santa Rosa,--,SI,--,--,SI,SI,SI,SI,SI
SALTA,Orán,El Tabacal,--,--,--,SI,SI,--,SI,--,--
SANTA CRUZ,Deseado,Las Heras,--,--,--,SI,SI,SI,--,SI,SI
SANTA CRUZ,Deseado,Pico Truncado,--,--,--,SI,SI,SI,--,SI,SI
SANTA CRUZ,Deseado,Puerto Deseado,SI,--,SI,--,SI,SI,SI,--,SI
SANTA CRUZ,Deseado,Tellier,--,--,--,--,--,--,--,--,SI
SANTA CRUZ,Güer Aike,28 de Noviembre,--,--,--,SI,SI,SI,SI,SI,SI
SANTA CRUZ,Güer Aike,El Turbio (Est. Gobernador Mayer),--,--,--,--,--,--,--,--,SI
SANTA CRUZ,Güer Aike,Julia Dufour,--,--,--,--,SI,--,--,--,--
SANTA CRUZ,Güer Aike,Mina 3,--,--,--,--,--,SI,--,--,SI
SANTA CRUZ,Güer Aike,Río Gallegos,--,SI,SI,SI,SI,SI,SI,--,SI
SANTA CRUZ,Güer Aike,Rospentek,--,--,--,--,--,--,SI,--,--
SANTA CRUZ,Güer Aike,Yacimientos Río Turbio,--,--,--,--,SI,SI,SI,--,SI
SANTA CRUZ,Lago Argentino,El Calafate,SI,--,--,SI,SI,SI,SI,SI,SI
SANTA FE,Las Colonias,Nuevo Torino,SI,--,--,--,SI,--,--,SI,--
SANTA FE,Las Colonias,Pilar,SI,--,--,SI,SI,SI,SI,SI,--
SANTA FE,Las Colonias,Plaza Matilde,--,--,--,--,--,--,--,--,--
SANTA FE,Las Colonias,Progreso,--,--,--,--,SI,SI,SI,SI,--
SANTA FE,Las Colonias,Providencia,--,--,--,--,SI,--,SI,SI,--
SANTA FE,Las Colonias,Sa Pereyra,SI,--,--,--,--,--,SI,SI,--
SANTA FE,Las Colonias,San Agustín,--,--,--,--,SI,SI,SI,SI,--
SANTA FE,Las Colonias,San Carlos Centro,SI,SI,--,SI,SI,SI,SI,SI,--
SANTA FE,Las Colonias,San Carlos Norte,--,SI,--,SI,SI,--,SI,SI,--
SANTA FE,Las Colonias,San Carlos Sud,SI,SI,--,SI,SI,SI,SI,SI,--
SANTA FE,Las Colonias,San Jerónimo del Sauce,--,--,--,SI,SI,SI,SI,SI,--
SANTA FE,Las Colonias,San Jerónimo Norte,SI,--,--,SI,SI,SI,SI,SI,--
SANTA FE,Las Colonias,San Mariano,--,--,--,--,--,--,SI,--,--
CORDOBA,San Justo,Devoto,SI,--,--,SI,SI,SI,SI,--,--
CORDOBA,San Justo,El Arañado,--,SI,--,--,SI,SI,SI,SI,SI
CORDOBA,San Justo,El Fortín,--,SI,--,--,SI,SI,SI,SI,--
CORDOBA,San Justo,El Fuertecito,--,--,--,--,SI,--,SI,SI,--
CORDOBA,San Justo,El Tío,SI,SI,--,SI,SI,SI,SI,--,--
CORDOBA,San Justo,Estación Luxardo,--,--,--,--,SI,SI,--,SI,--
CORDOBA,San Justo,Freyre,SI,SI,--,SI,SI,SI,SI,SI,--
CORDOBA,San Justo,La Francia,SI,--,--,SI,SI,SI,SI,SI,--
CORDOBA,San Justo,La Paquita,SI,--,--,--,SI,--,--,SI,--
CORDOBA,San Justo,La Tordilla,SI,--,--,--,SI,SI,SI,SI,--
CORDOBA,San Justo,Las Varas,--,--,--,SI,SI,SI,SI,--,--
MENDOZA,Luján de Cuyo,Las Carditas,--,--,--,--,--,--,--,--,--
MENDOZA,Luján de Cuyo,Las Compuertas,SI,--,SI,--,SI,--,SI,SI,--
MENDOZA,Luján de Cuyo,Las Vegas,--,--,--,--,--,--,SI,SI,--
MENDOZA,Luján de Cuyo,Los Manantiales,--,--,--,--,SI,SI,--,--,--
MENDOZA,Luján de Cuyo,Luján de Cuyo,SI,SI,SI,SI,SI,SI,SI,SI,--
MENDOZA,Luján de Cuyo,MAYOR DRUMMOND,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Luján de Cuyo,Perdriel,SI,--,SI,SI,--,SI,SI,SI,--
MENDOZA,Luján de Cuyo,Piedras Blancas,--,--,--,--,--,--,--,--,--
MENDOZA,Luján de Cuyo,Potrerillos,--,--,--,SI,SI,SI,SI,SI,SI
MENDOZA,Luján de Cuyo,Ugarteche,--,--,--,SI,SI,SI,SI,SI,--
MENDOZA,Luján de Cuyo,Valle Del Sol,--,--,--,--,--,--,--,--,--
MENDOZA,Luján de Cuyo,Villa El Refugio,--,--,--,--,--,--,--,--,--
MENDOZA,Luján de Cuyo,VISTALBA,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,Maipú,Barrancas,--,--,--,--,SI,SI,SI,SI,--
MENDOZA,Maipú,Barrio Jesús de Nazaret,--,--,--,--,--,--,--,SI,--
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,--,--,--,SI,--,--,SI,--,--
BUENOS AIRES,Adolfo Alsina,La Pala,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Adolfo Alsina,Maza,--,--,--,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Adolfo Alsina,Rivera,--,--,--,SI,SI,--,SI,--,--
BUENOS AIRES,Adolfo Alsina,Thames,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Adolfo Alsina,Villa Margarita,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Adolfo Alsina,Yutuyaco,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves (Est. Chaves),SI,--,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,--,--,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,--,--,--,--,--,--,SI,SI,--
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,--,--,--,--,SI,SI,SI,SI,--
BUENOS AIRES,Alberti,Alberti (Est. Andrés Vaccarezza),SI,--,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Alberti,Coronel Seguí,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Alberti,Mechita,SI,--,--,--,SI,SI,--,--,--
BUENOS AIRES,Alberti,Pla,--,--,--,--,--,--,SI,--,--
BUENOS AIRES,Alberti,Villa Grisolía (Est. Achupallas),--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,Alberti,Villa María,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,--,--,--,--,SI,SI,--,SI,--
BUENOS AIRES,Cañuelas,Barrio El Taladro,--,--,--,SI,SI,--,--,--,--
BUENOS AIRES,Cañuelas,Cañuelas,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Cañuelas,Gobernador Udaondo,--,--,--,SI,SI,--,--,SI,--
BUENOS AIRES,Cañuelas,Máximo Paz,--,SI,--,SI,--,--,--,SI,--
BUENOS AIRES,Cañuelas,Santa Rosa,--,--,--,--,SI,SI,--,SI,SI
BUENOS AIRES,Cañuelas,Uribelarrea,SI,--,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Cañuelas,Vicente Casares,SI,--,SI,--,SI,SI,SI,SI,--
BUENOS AIRES,Capitán Sarmiento,Capitán Sarmiento,SI,SI,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Capitán Sarmiento,La Luisa,--,--,--,--,--,--,--,SI,--
BUENOS AIRES,Carlos Casares,Bellocq,--,--,SI,--,--,--,SI,--,--
BUENOS AIRES,Carlos Casares,Cadret,--,--,--,--,--,--,SI,SI,--
BUENOS AIRES,Carmen de Areco,Pueblo Gouin,--,--,--,--,--,--,--,SI,--
BUENOS AIRES,General Rodríguez,General Rodríguez,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,General San Martín,Barrio Parque General San Martin,--,--,SI,SI,SI,--,SI,SI,--
BUENOS AIRES,General San Martín,Billinghurst,SI,SI,--,SI,SI,SI,SI,--,--
BUENOS AIRES,General San Martín,Ciudad Del Libertador General San Martin,SI,SI,--,SI,SI,SI,SI,SI,SI
BUENOS AIRES,General San Martín,Ciudad Jardin El Libertador,--,SI,--,--,SI,SI,SI,--,--
BUENOS AIRES,General San Martín,Va Ma Irene De Los Remedios De Escalada,--,SI,--,--,SI,SI,--,--,--
BUENOS AIRES,General San Martín,Villa Ayacucho,--,SI,--,SI,SI,SI,--,--,--
BUENOS AIRES,General San Martín,Villa Ballester,SI,SI,SI,SI,SI,SI,SI,SI,--
MENDOZA,Malargüe,Bardas Blancas,--,--,--,--,SI,--,SI,--,--
BUENOS AIRES,Pergamino,Rancagua,SI,--,--,SI,SI,--,SI,--,--
BUENOS AIRES,Pergamino,Villa Angélica (Est. El Socorro),--,SI,--,--,SI,SI,--,--,--
BUENOS AIRES,Pergamino,Villa San José,--,--,--,SI,--,--,SI,--,--
BUENOS AIRES,Pila,Casalins,--,--,--,--,--,SI,--,SI,--
BUENOS AIRES,Pila,Pila,--,--,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Pilar,Barrio Parque Almirante Irizar (Ap. Kilómetro 61),--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,Pilar,Club de Campo Larena - Los Quinchos,--,--,--,--,SI,--,--,--,--
BUENOS AIRES,Pilar,Country Club El Jagüel,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,Pilar,Del Viso,SI,SI,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Pilar,Fátima,SI,SI,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Pilar,La Lonja,SI,SI,--,SI,SI,SI,SI,SI,--
CABA,COMUNA 12,VILLA URQUIZA,SI,SI,SI,SI,SI,SI,SI,SI,SI
CATAMARCA,Fray Mamerto Esquiú,San José,--,--,--,--,SI,SI,--,--,--
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,--,--,--,--,SI,--,--,--,SI
CATAMARCA,La Paz,Casa de Piedra,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,El Aybal,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,El Bañado,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,El Divisadero,--,--,--,--,--,--,SI,--,--
CATAMARCA,La Paz,El Quimilo,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,Esquiú,--,--,--,--,SI,SI,--,--,--
CATAMARCA,La Paz,Icaño,--,--,--,--,SI,SI,SI,--,SI
CATAMARCA,La Paz,La Dorada,--,--,--,--,--,--,SI,--,--
CABA,COMUNA 13,BELGRANO,SI,SI,SI,SI,SI,SI,SI,SI,SI
CORDOBA,San Justo,Colonia Marina,--,SI,--,SI,SI,SI,SI,SI,SI
CORDOBA,San Justo,Colonia Prosperidad,--,--,--,--,SI,--,SI,--,--
CORDOBA,San Justo,Colonia San Bartolomé,--,--,--,--,SI,--,SI,SI,--
CORDOBA,San Justo,Colonia San Pedro,--,--,--,--,--,--,--,--,--
CORDOBA,San Justo,Colonia Santa María,--,--,--,--,--,--,--,--,--
CORDOBA,San Justo,Colonia Valtelina,--,--,--,--,--,--,--,--,--
CORDOBA,San Justo,Colonia Vignaud,SI,--,--,SI,SI,SI,SI,--,--
CATAMARCA,La Paz,La Guardia,--,--,--,--,SI,--,--,--,--
CATAMARCA,La Paz,Las Esquinas,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,Las Palmitas,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,Quirós,--,--,--,--,SI,--,SI,SI,--
CATAMARCA,La Paz,Ramblones,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,Recreo,SI,--,--,SI,SI,SI,SI,SI,SI
CATAMARCA,La Paz,San Antonio,--,--,--,--,SI,SI,SI,SI,--
CATAMARCA,Paclín,Amadores,--,--,--,--,--,--,--,--,--
CATAMARCA,Paclín,El Rosario,--,--,--,--,--,--,--,--,--
CATAMARCA,Paclín,La Bajada,--,--,--,--,--,--,--,--,--
CATAMARCA,Paclín,La Higuera,--,--,--,--,--,--,--,--,--
CATAMARCA,Paclín,La Merced,SI,--,--,--,SI,--,SI,SI,SI
CATAMARCA,Paclín,La Viña,--,--,--,--,--,--,--,SI,--
CATAMARCA,Paclín,Las Lajas,--,--,--,--,--,--,--,--,SI
CATAMARCA,Paclín,Monte Potrero,--,--,--,--,SI,SI,--,--,--
CATAMARCA,Paclín,Palo Labrado,--,--,--,--,--,--,SI,--,--
CATAMARCA,Paclín,San Antonio,--,--,--,--,--,--,SI,SI,SI
CATAMARCA,Paclín,Villa de Balcozna,--,--,--,--,SI,--,--,--,--
CATAMARCA,Pomán,Apoyaco,--,--,--,--,--,--,--,--,--
CATAMARCA,Pomán,Colana,--,--,--,--,--,--,SI,--,--
CATAMARCA,Pomán,Colpes,--,--,--,--,--,--,--,SI,--
CATAMARCA,Pomán,El Pajonal (Est. Pomán),--,--,--,--,--,--,--,--,--
CATAMARCA,Pomán,Joyango,--,--,--,--,--,--,SI,--,--
BUENOS AIRES,Alberti,Villa Ortiz (Est. Coronel Mom),--,--,--,--,SI,SI,SI,--,--
