Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,83 Mbps
BUENOS AIRES,La Plata,La Cumbre,6441030,30.0,,,,,,,,,,,,,,,,,,,29.0,,,,21.0,,54.0,,,,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,La Plata,La Plata,6441030,145.0,1.0,,65.0,2.0,,757.0,1.329,,,897.0,,,276.0,,4.15,83.0,,106.0,432.0,,7.0,,3.13,,1.42,,1.0,337.0,,,,4.091,,,,101.0,,1.0,,,,1.247,,,,,39.6,,,,,,,,2.0,,,,,1.0,10.302,,,,,,,6.063,,,,,,2.0,1.188,,,
BUENOS AIRES,La Plata,Lisandro Olmos,6441030,,,,,,,,,,,,,,,,,,,1.0,,,,,,,131.0,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,37.0,,,,,,,1.204,,,,,,,281.0,,,
BUENOS AIRES,La Plata,Los Hornos,6441030,91.0,,,,,,,,,,,,,,,,,,3.0,92.0,,,,21.0,,163.0,,,,,,,10.0,,,,85.0,,,,,,39.0,,,,,9.0,,,,,,,,,,,,,,123.0,,,,,,,1.471,,,,,,,371.0,,,
BUENOS AIRES,La Plata,Manuel B Gonnet,6441030,,,,,,,,4.0,,,,,,1.0,,,,,6.0,16.0,,,,,,61.0,,,,,,,,,,,20.0,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,685.0,,,,,,,635.0,,,,,,,213.0,,,
BUENOS AIRES,La Plata,OTROS,Sin Datos,,,,,,,,,,,,,,,,14.0,,,,,,,,6.0,,,,,,,,,2.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,La Plata,Ringuelet,6441030,,,,,,,,,,,,,,,,,,,2.0,59.0,,,,,,56.0,,,,,,,,,,,28.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,274.0,,,,,,,420.0,,,,,,,107.0,,,
BUENOS AIRES,La Plata,ruta del sol,6441030,,,,,,,,70.0,,,36.0,,,54.0,,,,,76.0,,,,,42.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,La Plata,Tolosa,6441030,,,,,,,,1.0,,,,,,,,,,,,103.0,,,,,,163.0,,,,,,,2.0,,,,71.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,751.0,,,,,,,1.71,,,,,,,451.0,,,
BUENOS AIRES,La Plata,Transradio,6441030,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,La Plata,Villa Elisa,6441030,30.0,,,,,,,1.0,,,,,,,,,,,5.0,75.0,,,,21.0,,171.0,,,,,,,15.0,,,,96.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,750.0,,,,,,,1.108,,,,,,,291.0,,,
BUENOS AIRES,La Plata,Villa Elvira,6441030,30.0,,,,,,,,,,,,,,,,,,5.0,102.0,,,,21.0,,202.0,,,,,,,10.0,,,,66.0,,,,,,22.0,,,,,,,,,,,,,,,,,,,24.0,,,,,,,2.401,,,,,,,462.0,,,
BUENOS AIRES,La Plata,Villa Garibaldi,6441030,30.0,,,,,,,,,,,,,,,,,,,29.0,,,,21.0,,54.0,,,,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,La Plata,Villa Montoro,6441030,30.0,,,,,,,,,,,,,,,,,,,29.0,,,,21.0,,54.0,,,,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,La Plata,Villa Parque Sicardi,6441030,30.0,,,,,,,,,,,,,,,,,,,29.0,,,,21.0,,54.0,,,,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lanús,Gerli,6434010,,,,3.0,,,16.0,5.0,,,,,,,,17.0,,,4.0,2.0,,,,10.0,,364.0,,,,,,,5.0,,,,3.0,,,,,,21.0,,,,,2.996,,,,,,,,,,,,,,2.469,,,,,,,880.0,,,,,,,150.0,,,
BUENOS AIRES,Lanús,Lanús Este,6434010,,,,4.0,1.0,,41.0,7.0,,,1.0,,,6.0,,145.0,,,10.0,280.0,,,,130.0,,711.0,,,,,,,308.0,,,,14.0,,,,,,78.0,,,,,11.897,,,,,,,,,,,,,,3.589,,,,,,,1.967,,,,,,,426.0,,,
BUENOS AIRES,Lanús,Lanús Oeste,6434010,1.0,1.0,,,,,,202.0,,,,,,,,,,,8.0,259.0,,,,,,1.228,,,,,,,2.0,,,,34.0,,,,,,81.0,,,,,8.0,,,,,,,,,,,,,,9.741,,,,,,,3.631,,,,,,,641.0,,,
BUENOS AIRES,Lanús,Monte Chingolo,6434010,,,,7.0,,,13.0,7.0,,,,,,12.0,,51.0,,,7.0,144.0,,,,6.0,,387.0,,,,,,,,,,,54.0,,,,,,28.0,,,,,15.863,,,,,,,,,,,,,,113.0,,,,,,,3.424,,,,,,,618.0,,,
BUENOS AIRES,Lanús,Remedios Escalada De San Martin,6434010,136.0,,,,,,18.0,3.0,,,1.0,,,,,44.0,,,3.0,208.0,,,,10.0,,1.043,,,,,,,4.0,,,,5.0,,,,,,66.0,,,,,5.035,,,,,,,,,,,,,,538.0,,,,,,,2.596,,,,,,,439.0,,,
BUENOS AIRES,Lanús,Valentín Alsina,6434010,1.0,,,8.0,,,27.0,14.0,,,,,,5.0,,66.0,,,2.0,42.0,,,,29.0,,393.0,,,,,,,76.0,,,,48.0,,,,,,44.0,,,,,9.462,,,,,,,,,,,,,,2.07,,,,,,,1.03,,,,,,,185.0,,,
BUENOS AIRES,Laprida,Laprida,6448010,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1.289,,,,,,,,,,,,,,,990.0,442.0,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,
BUENOS AIRES,Laprida,Pueblo Nuevo,6448020,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Laprida,Pueblo San Jorge,6448030,,,,,,,,,,,,,,12.0,,,,,,,,,,,32.0,,,,22.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Las Flores,Coronel Boerr,6455010,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Las Flores,El Trigo,6455020,,,,,,,,,,,,,,,,,3.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Las Flores,Las Flores,6455030,5.0,,,,,,2.0,,,,52.0,,,976.0,,233.0,48.0,,1.399,16.0,,20.0,,476.0,,1.752,,,,,,,350.0,,,,107.0,,,,,,,,,,,39.0,,,,,,,,8.0,,,,,,11.0,,,,,,,,,,,,,,,,,
BUENOS AIRES,Las Flores,Pardo,6455040,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,Alberdi Viejo,6462010,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,El Dorado,6462020,,,,1.0,,,,,,,,,,,,,68.0,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,Fortín Acha,6462030,,,,,,,,,,,,,,,,,19.0,,,19.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,Juan Bautista Alberdi  (Est. Alberdi),6462040,5.0,,,,,,,,,,,,,457.0,,,4.0,,,4.0,,,,,,248.0,,,,,,,,,,,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,Leandro N. Alem,6462050,,,,,,,,,,,,,,,,,4.0,,,240.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Leandro N. Alem,Vedia,6462060,,,,1.0,,,2.0,,,,4.0,,,,,60.0,,,580.0,633.0,,44.0,,188.0,50.0,,,,,,,,1.087,,,56.0,6.0,,,,,,108.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Arenaza,6469010,,,,,,,,,,,,,,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Bayauca,6469020,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Carlos Salas,6469040,,,,,,,,,,,,,,91.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Coronel Martínez de Hoz  (Ap. Kilómetro 322),6469050,,,,,,,,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,El Triunfo,6469060,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Las Toscas,6469070,,,,,,,,247.0,,,,,,23.0,,,,,,30.0,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Lincoln,6469080,,,,,,,3.0,1.0,,,,,,,,161.0,,,1.0,,,,,1.508,,27.0,,,,,,,459.0,,,,5.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,620.0,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Pasteur,6469090,,,,2.0,,,,,,,411.0,,,41.0,,,31.0,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lincoln,Roberts,6469100,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,,,,,,,,,,,71.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobería,Arenas Verdes,6476010,,,,,,,,,,,4.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobería,Licenciado Matienzo,6476020,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobería,Lobería,6476030,16.0,,,,,,2.0,,,,,,,,,148.0,,,441.0,,,213.0,,270.0,,351.0,,,186.0,,,,485.0,,,,86.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobería,Pieres,6476040,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobería,San Manuel,6476050,,,,,,,,5.0,,,,,,5.0,,,,,,141.0,,,,,,19.0,,,295.0,,,,,,,,3.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobería,Tamangueyú,6476060,,,,,,,,,,,10.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobos,Antonio Carboni,6483010,,,,,,,,25.0,,,,,,56.0,,,,,84.0,86.0,,2.0,,5.0,,121.0,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobos,Elvira,6483020,,,,,,,,,,,,,,,,,,,60.0,2.0,,2.0,,3.0,,66.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lobos,Lobos,6483040,1.0,,,,,,35.0,,,,,,,,,273.0,,,1.132,87.0,,63.0,,275.0,,1.412,,,,,,,232.0,,,,74.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,375.0,,,,1.0,,,,,,,,,,,,,
BUENOS AIRES,Lobos,Salvador María,6483050,,,,,,,,,,,,,,87.0,,,,,193.0,11.0,,12.0,,17.0,,459.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Lomas De Zamora,Banfield,6490010,1.0,,,10.0,1.0,,22.0,30.0,,,,,,33.0,,79.0,,,33.0,56.0,,,,69.0,,3.659,,,,,,,152.0,,,,16.0,,,,,,127.0,,,,,9.797,,,,,,,,,,,,,,1.203,,,,,,,18.019,,,,,,,3.456,,,
BUENOS AIRES,Lomas De Zamora,Llavallol,6490010,7.0,,,5.0,,,16.0,4.0,,,,,,5.0,,38.0,,,4.0,4.0,,,,18.0,,383.0,,,,,,,62.0,,,,1.0,,,,,,20.0,,,,,7.117,,,,,,,,,,,,,,189.0,,,,,,,1.538,,,,,,,340.0,,,
BUENOS AIRES,Lomas De Zamora,Lomas De Zamora,6490010,328.0,1.0,,13.0,2.0,,37.0,291.0,,,261.0,,,124.0,,143.0,90.0,,186.0,876.0,,,,124.0,,1.733,,,58.0,,,,301.0,,,,155.0,,,,,,123.0,,,,,10.912,,,,,,,,1.0,,,,,,2.002,,,,,,,5.851,,,,,,,1.168,,,
BUENOS AIRES,Lomas De Zamora,Temperley,6490010,,,,,2.0,,6.0,7.0,,,1.0,,,12.0,,19.0,,,10.0,48.0,,,,11.0,,1.418,,,,,,,12.0,,,,15.0,,,,,,91.0,,,,,9.177,,,,,,,,,,,,,,962.0,,,,,,,5.462,,,,,,,1.105,,,
BUENOS AIRES,Lomas De Zamora,Turdera,6490010,,,,4.0,,,12.0,,,,,,,,,15.0,,,3.0,2.0,,,,11.0,,128.0,,,,,,,3.0,,,,,,,,,,9.0,,,,,6.339,,,,,,,,,,,,,,120.0,,,,,,,311.0,,,,,,,77.0,,,
BUENOS AIRES,Lomas De Zamora,Villa Centenario,6490010,,,,,,,,133.0,,,,,,,,,,,,247.0,,,,,,47.0,,,,,,,,,,,43.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,,,,7.0,,,
BUENOS AIRES,Lomas De Zamora,Villa Fiorito,6490010,1.0,,,,,,,290.0,,,,,,,,,,,,494.0,,,,,,68.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,78.0,,,,,,,9.0,,,
BUENOS AIRES,Luján,Barrio Las Casuarinas,6497060,,,,,,,,17.0,,,9.0,,,,,,,,1.0,,,,,,,21.0,,,,,,,15.0,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,28.0,,,,
BUENOS AIRES,Luján,Carlos Keen,6497020,,,,,,,,12.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,Cortines,6497060,,,,,,,,16.0,,,13.0,,,14.0,,,,,2.0,,,,,,,73.0,,,,,,,53.0,,,,,,,,,,,,,,,192.0,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,99.0,,,,
BUENOS AIRES,Luján,José María Jáuregui (Est. Jáuregui),6497060,,,,,,,,8.0,,,18.0,,,,,,,,6.0,,,,,,,431.0,,,,,,,310.0,,,,,,,,,,,,,,,1.126,,,,,,,,,,,,,,51.0,,,,,,,270.0,,,,,,582.0,,,,
BUENOS AIRES,Luján,Lezica y Torrezuri,6497060,,,,,,,,10.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,Luján,6497060,4.0,,,5.0,,,149.0,70.0,,,184.0,,,65.0,,1.17,,,2.0,2.095,,,,692.0,,1.036,,,93.0,,,,497.0,,,,4.109,,,,,,,,,,,685.0,,,,,,,,6.0,,,,,,4.913,,,,,,,,,,,,,4.572,,,,
BUENOS AIRES,Luján,Olivera,6497070,,,,,,,,27.0,,,15.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,Open Door  (Est. Dr. Domingo Cabred),6497060,,,,,,,2.0,19.0,,,14.0,,,,,27.0,,,,,,226.0,,95.0,,,,,,,,,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,OTROS,Sin Datos,,,,,,,,22.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Luján,Torres,6497090,,,,,,,,16.0,,,6.0,,,,,5.0,,,,,,,,12.0,,,,,,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Magdalena,General Mansilla  (Est. Bartolomé Bavio),6505020,423.0,,,,,,,,,,98.0,,,15.0,,,,,,30.0,,,,,,23.0,,,32.0,,,,,,,,,,,,,,286.0,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,
BUENOS AIRES,Magdalena,Magdalena,6505040,,,,,,,15.0,88.0,,,2.0,,,279.0,,57.0,,,136.0,96.0,,,,213.0,,412.0,,,56.0,,,,427.0,,,,,,,,,,2.503,,,,,,,,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,
BUENOS AIRES,Magdalena,Vieytes,6505060,,,,,,,,,,,,,,22.0,,,28.0,,,37.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Maipú,Las Armas,6511010,,,,,,,,54.0,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Maipú,Maipú,6511020,1.1,,,,,,,20.0,,,,,,,,35.0,,,,,,,,189.0,,,,,,,,,421.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Maipú,Santo Domingo,6511030,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triángulo,6515010,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Malvinas Argentinas,Grand Bourg,6515010,41.0,,,,,,,,,,785.0,,,1.153,,,,,1.144,1.0,,,,,,1.965,,,,,,,1.203,,,,658.0,,,,,,2.09,,,,,9.0,,,,,,,,,,,,,,50.0,,,,,,,2.246,,,,,,,533.0,,,
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,6515010,22.0,,,,,,,25.0,,,16.0,,,92.0,,,,,3.0,49.0,,,,,,211.0,,,,,,,7.0,,,,251.0,,,,,,13.0,,,,,9.0,,,,,,,,,,,,,,7.0,,,,,,,1.072,,,,,,,270.0,,,
BUENOS AIRES,Malvinas Argentinas,Ingeniero Pablo Nogués,6515010,16.0,,,,,,4.0,1.0,,,112.0,,,263.0,,56.0,,,294.0,1.0,,,,18.0,,618.0,,,,,,,172.0,,,,81.0,,,,,,271.0,,,,,12.0,,,,,,,,,,,,,,19.0,,,,,,,991.0,,,,,,,269.0,,,
BUENOS AIRES,Malvinas Argentinas,Los Polvorines,6515010,4.0,,,4.0,1.0,,12.0,5.0,,,1.0,,,6.0,,54.0,,,9.0,15.0,,,,72.0,,288.0,,,,,,,89.0,,,,,,,,,,24.0,,,,,6.015,,,,,,,,,,,,,,85.0,,,,,,,2.161,,,,,,,534.0,,,
BUENOS AIRES,Malvinas Argentinas,Malvinas Argentinas,6515010,4.0,,,,,,,1.0,,,1.0,,,8.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,4.0,,,
BUENOS AIRES,Malvinas Argentinas,Tortuguitas,6515010,127.0,,,1.0,,,,691.0,,,,,,,,,,,1.0,,,,,,,1.031,,,,,,,,,,,1.951,,,,,,5.0,,,,,22.0,,,,,,,,,,,,,,1.666,,,,,,,1.456,,,,,,,287.0,,,
BUENOS AIRES,Malvinas Argentinas,Villa De Mayo,6515010,7.0,,,,,,,5.0,,,4.0,,,14.0,,13.0,,,1.0,1.0,,,,5.0,,117.0,,,,,,,4.0,,,,3.0,,,,,,10.0,,,,,2.575,,,,,,,,,,,,,,12.0,,,,,,,1.224,,,,,,,291.0,,,
BUENOS AIRES,Mar Chiquita,Coronel Vidal,6518010,141.0,,,,,,,22.0,,,3.0,,,11.0,,2.0,2.0,,,3.0,,,,,,1.495,,,,,,,62.0,,,,233.0,,,,,,15.0,,,,,51.0,,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,General Pirán,6518020,513.0,,,,,,,16.0,,,,,,6.0,,,1.0,,,2.0,,,,,,257.0,,,,,,,,,,,14.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,La Armonía,6518030,,,,,,,,,,,,,,,,,,,,52.0,,,,5.0,,29.0,,,3.0,,,,9.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,La Caleta,6518020,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,Mar de Cobo,6518050,166.0,,,,,,,,,,,,,,,25.0,,,,,,,,83.0,,1.045,,,,,,,72.0,,,,139.0,,,,,,,,,,,87.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,Santa Clara del Mar,6518060,1.0,,,,,,,401.0,,,70.0,,,1.503,,,36.0,,,805.0,,,,,,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mar Chiquita,Vivoratá,6518070,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Marcos Paz,Marcos Paz,6525020,941.0,,,1.0,,,28.0,,,,,,,1.0,,419.0,,,,2.0,,,,841.0,,20.0,,,,,,,628.0,5.0,,,,,,,,38.0,3.0,,,,,1.0,,16.0,,,,,,524.0,,,,25.0,,,,,,,,,300.0,,,,,,,67.0,,5.277,
BUENOS AIRES,Mercedes,Gowland,6532010,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mercedes,Jorge Born,6532030,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Mercedes,Mercedes,6532020,1.0,,,7.0,,,44.0,,,,101.0,,,46.0,,527.0,,,,217.0,,970.0,,400.0,,737.0,,,,,,,256.0,,,,2.921,,,,,,,,,,,3.248,,,,,,,,,,,,,,417.0,,,,,,,,,,,,,,,,,
BUENOS AIRES,Merlo,Libertad,6539010,14.0,,,1.0,,,4.0,3.0,,,1.587,,,10.0,,29.0,,,4.0,125.0,,21.0,,39.0,,575.0,,,,,,1.0,38.0,,,,9.0,,,,,,71.0,,,,,14.601,,,,,,,,,,,,,,66.0,,,,,,,5.164,,,,,,,1.177,,,
BUENOS AIRES,Merlo,Mariano Acosta,6539010,9.73,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,221.0,,,,,,,,,,,,,,,,,16.0,,,,,1.0,,,,,,,,,,,,,,14.0,,,,,,,2.955,,,,,,,540.0,,,
BUENOS AIRES,Merlo,Merlo,6539010,194.0,,,8.0,,,26.0,8.0,,,267.0,,,27.0,,128.0,,,24.0,780.0,,5.0,,69.0,,1.063,,,,,,,113.0,,,,25.0,,,,,,78.0,,,,,23.487,,,,,,,,,,,,,,400.0,,,,,,,13.593,,,,,,,2.923,,,
BUENOS AIRES,Merlo,OTROS,Sin Datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Merlo,Pontevedra,6539010,,,,,,,5.0,,,,,,,130.0,,169.0,,,3.0,1.0,,1.659,,249.0,,112.0,,,,,,,256.0,,,,2.0,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,21.0,,,,,,,1.473,,,,,,,322.0,,,
